player_name,win_rate,aces,double_faults,total_points_won,total_won_on_return,IA,IE,ID,cluster
Raquel Segura Aguilar,0.0,0.0,0.0,46.5,41.75,0.0,0.0,41.75,3
Rashed Nawaf,0.0,0.0,0.0,41.0,31.0,0.0,0.0,31.0,3
Raul Marcos,0.375,0.0,0.0625,47.0,34.875,0.0,0.0013020833333333333,34.875,2
Rayan Abdulla,0.0,0.0,0.0,30.333333333333332,27.333333333333332,0.0,0.0,27.333333333333332,3
Rebeca Lopez Lopez,0.3333333333333333,0.0,0.0,42.5,34.416666666666664,0.0,0.0,34.416666666666664,3
Renata Martinez Becerra,0.0,0.0,0.0,19.0,3.0,0.0,0.0,3.0,3
Renzo Gabriel Nu??ez,0.5,0.0,0.0,50.5,39.5,0.0,0.0,39.5,3
Ricardo Martinez,0.0,0.0,0.5,44.0,32.5,0.0,0.011111111111111112,32.5,2
Riccardo Sinicropi,0.0,0.0,0.0,42.5,31.833333333333332,0.0,0.0,31.833333333333332,3
Roberto Belmont Pastor,0.0,0.0,0.0,42.5,32.0,0.0,0.0,32.0,3
Rodrigo Coello Manso,0.25,0.0,0.0,48.25,30.5,0.0,0.0,30.5,3
Roger Aromi Siquier,0.0,0.0,0.0,45.0,31.0,0.0,0.0,31.0,3
Ruben Rivera,0.2,0.0,0.0,46.8,37.6,0.0,0.0,37.6,3
Saana Saarteinen,0.0,0.0,0.0,39.0,38.0,0.0,0.0,38.0,3
Salvador Oria,0.4074074074074074,0.0,0.09259259259259259,47.96296296296296,33.648148148148145,0.0,0.0018910741301059,33.648148148148145,2
Samuel Rivas Garcia,0.5,0.0,0.0,47.0,34.25,0.0,0.0,34.25,3
Sandra Bellver Fructuoso,0.23529411764705882,0.0,0.029411764705882353,45.1764705882353,36.911764705882355,0.0,0.0006369426751592356,36.911764705882355,2
Sandra Hernandez Camacho,0.5,0.0,0.0,44.5,38.0,0.0,0.0,38.0,3
Sandra Oliveras Gonzalez,0.0,0.0,0.0,41.0,28.0,0.0,0.0,28.0,3
Santiago Frugoni,0.0,0.0,0.0,45.0,29.0,0.0,0.0,29.0,3
Santiago Jose Pineda Cabello,0.0,0.0,0.0,41.5,24.5,0.0,0.0,24.5,3
Santiago Rolla,0.5,0.0,0.5,44.0,32.0,0.0,0.011111111111111112,32.0,2
Sanyo Gutierrez,0.4939759036144578,0.0,0.03614457831325301,49.265060240963855,36.30120481927711,0.0,0.0007190795781399808,36.30120481927711,2
Sara Errani,0.0,0.0,0.0,49.0,36.0,0.0,0.0,36.0,3
Sara Foguer Lapuente,0.0,0.0,0.0,45.0,37.0,0.0,0.0,37.0,3
Sara Mohammed Salhab,0.0,0.0,0.0,24.0,12.0,0.0,0.0,12.0,3
Sara Pujals Perez,0.3,0.0,0.05,44.85,35.45,0.0,0.0010905125408942203,35.45,2
Sara Ruiz Soto,0.2830188679245283,0.03773584905660377,0.09433962264150944,46.81132075471698,39.490566037735846,0.010679957280170878,0.001973164956590371,39.490566037735846,0
Saska Huttunen,0.0,0.0,0.0,42.0,20.0,0.0,0.0,20.0,3
Sattam Alshahrani,0.0,0.0,0.0,31.5,20.5,0.0,0.0,20.5,3
Sebastian Mu??oz Campos,0.0,0.0,0.0,34.0,9.0,0.0,0.0,9.0,3
Sergio Alba,0.25,0.0,0.0,46.5,36.25,0.0,0.0,36.25,3
Sergio Arias Aznar,0.5,0.0,0.0,52.0,41.5,0.0,0.0,41.5,3
Sergio Icardo,0.2,0.0,0.0,45.8,30.2,0.0,0.0,30.2,3
Silvana Campus,0.0,0.0,0.0,33.0,14.0,0.0,0.0,14.0,3
Silvia Lopez Vidal,0.0,0.0,0.0,21.0,20.0,0.0,0.0,20.0,3
Simon Vasquez,0.5,0.0,0.0,50.5,39.5,0.0,0.0,39.5,3
Simon Wagner,0.0,0.0,0.0,46.0,43.0,0.0,0.0,43.0,3
Simone Cremona,0.4,0.0,0.06666666666666667,46.266666666666666,35.333333333333336,0.0,0.0014104372355430183,35.333333333333336,2
Simone Iacovino,0.4,0.0,0.0,45.6,33.4,0.0,0.0,33.4,3
Sofia Araujo,0.65625,0.0078125,0.0234375,52.953125,44.5390625,0.005126953125,0.0004344048653344917,44.5390625,0
Sofia Saiz Vallejo,0.3389830508474576,0.0,0.13559322033898305,46.67796610169491,39.79661016949152,0.0,0.0028439388553146107,39.79661016949152,2
Sten Richters,0.2,0.0,0.0,42.6,31.2,0.0,0.0,31.2,3
Stephanie Weterings,0.0,0.0,0.14285714285714285,42.142857142857146,35.42857142857143,0.0,0.003311258278145695,35.42857142857143,2
Tamara Icardo Alcorisa,0.6534653465346535,0.0297029702970297,0.0297029702970297,53.336633663366335,45.336633663366335,0.019409861778257032,0.0005466472303206997,45.336633663366335,0
Teo Gamondi,0.0,0.0,0.0,43.0,27.5,0.0,0.0,27.5,3
Teodoro Zapata,0.3787878787878788,0.0,0.045454545454545456,48.666666666666664,35.984848484848484,0.0,0.0009151921903599756,35.984848484848484,2
Teresa Navarro,0.25,0.0,0.0,46.5,38.25,0.0,0.0,38.25,3
Teresa Navarro lopez-Barajas,0.2826086956521739,0.0,0.021739130434782608,45.608695652173914,38.630434782608695,0.0,0.0004664179104477612,38.630434782608695,2
Thijs Roper,0.3333333333333333,0.0,0.0,44.833333333333336,35.833333333333336,0.0,0.0,35.833333333333336,3
Thomas Leygue,0.29411764705882354,0.0,0.17647058823529413,46.76470588235294,34.1764705882353,0.0,0.0036945812807881776,34.1764705882353,2
Thomas Vanbauce,0.0,0.0,0.0,42.5,37.5,0.0,0.0,37.5,3
Tia Louisa Norton,0.0,0.0,1.0,47.0,43.0,0.0,0.020833333333333332,43.0,2
Timeo Fonteny,0.0,0.0,0.0,45.0,36.0,0.0,0.0,36.0,3
Tino Libaak,0.4576271186440678,0.01694915254237288,0.03389830508474576,49.96610169491525,35.898305084745765,0.007756391841424878,0.0006651147322913203,35.898305084745765,1
Tolito Aguirre,0.4473684210526316,0.0,0.07894736842105263,50.76315789473684,39.18421052631579,0.0,0.0015251652262328417,39.18421052631579,2
Tomas Luco,0.0,0.0,0.0,44.0,39.0,0.0,0.0,39.0,3
Toni Bueno,0.35,0.05,0.0,48.5,37.4,0.017499999999999998,0.0,37.4,0
Valentina Tommasi,0.0,0.0,0.0,38.5,35.5,0.0,0.0,35.5,3
Veronica Cepede Royg,0.0,0.0,0.0,32.0,33.0,0.0,0.0,33.0,3
Veronica Virseda,0.584070796460177,0.017699115044247787,0.008849557522123894,52.1858407079646,45.415929203539825,0.010337536220534106,0.00016638935108153079,45.415929203539825,0
Victor Mena,0.2962962962962963,0.0,0.0,48.25925925925926,36.55555555555556,0.0,0.0,36.55555555555556,3
Victor Ruiz,0.4430379746835443,0.012658227848101266,0.02531645569620253,48.70886075949367,36.177215189873415,0.0056080756289056235,0.0005092946269416858,36.177215189873415,1
Victor Tur Checa,0.0,0.0,0.0,42.5,32.0,0.0,0.0,32.0,3
Victoria Iglesias Segador,0.47368421052631576,0.013157894736842105,0.013157894736842105,48.44736842105263,40.0921052631579,0.006232686980609418,0.00026609898882384245,40.0921052631579,1
Victoria Kurz,0.0,0.0,0.0,40.0,33.0,0.0,0.0,33.0,3
Virginia Riera,0.5681818181818182,0.022727272727272728,0.0,52.56818181818182,44.27272727272727,0.01291322314049587,0.0,44.27272727272727,0
Xenia Clasca Vidiella,0.25,0.0,0.0,42.0,35.375,0.0,0.0,35.375,3
Yoan Boronad,0.0,0.0,0.0,45.0,36.0,0.0,0.0,36.0,3
Youp De Kroon,0.0,0.0,0.0,44.0,29.0,0.0,0.0,29.0,3
Youssef Hossam,0.375,0.0,0.125,44.875,29.0,0.0,0.0027247956403269754,29.0,2
Z?? Alexandre Meireles,0.0,0.0,0.0,42.0,27.0,0.0,0.0,27.0,3
